wk_strt_dt,yr_nbr,qtr_nbr,prd,wk_in_yr_nbr,delivery,mtrf_mintemp,mtrf_maxtemp,mtrf_rain,mtrf_humi9am,mtrf_wind9am,mtrf_pressure9am,mtrf_humi3pm,mtrf_wind3pm,mtrf_pressure3pm,seas_prd_1,seas_prd_2,seas_prd_3,seas_prd_4,seas_prd_5,seas_prd_6,seas_prd_7,seas_prd_8,seas_prd_9,seas_prd_10,seas_prd_11,seas_prd_12
17/11/2018,2018,2,11,46,783.0538468,17.3,24.1,4,46,20,1014.1,20,31,1012.7,0,0,0,0,0,0,0,0,0,0,1,0
24/11/2018,2018,2,11,47,1079.403568,17.7,25.7,6,35,19,1019.7,16,11,1017.4,0,0,0,0,0,0,0,0,0,0,1,0
1/12/2018,2018,2,12,48,991.6973104,19,23.5,1.00E-14,34,17,1019.7,17,15,1016.2,0,0,0,0,0,0,0,0,0,0,0,1
8/12/2018,2018,2,12,49,926.888405,19.4,26.9,29.6,39,2,1015.8,10,15,1010.6,0,0,0,0,0,0,0,0,0,0,0,1
15/12/2018,2018,2,12,50,937.9479222,20.1,28.6,0.4,36,9,1010.1,21,20,1004.8,0,0,0,0,0,0,0,0,0,0,0,1
22/12/2018,2018,2,12,51,810.8624851,19.6,23.9,158.4,48,15,1009.6,17,17,1005.9,0,0,0,0,0,0,0,0,0,0,0,1
29/12/2018,2018,2,12,52,908.2300055,18,29.7,19.2,60,26,1005.3,39,48,997.8,0,0,0,0,0,0,0,0,0,0,0,1
5/01/2019,2019,3,1,1,1147.59359,18.1,29.4,1.00E-14,43,6,1007.9,28,28,1003.9,1,0,0,0,0,0,0,0,0,0,0,0
12/01/2019,2019,3,1,2,1057.900971,20,29.2,5.8,41,30,1005.4,21,28,1007.6,1,0,0,0,0,0,0,0,0,0,0,0
19/01/2019,2019,3,1,3,1126.267647,22.5,32,1.00E-14,44,7,1016.5,10,13,1014.6,1,0,0,0,0,0,0,0,0,0,0,0
26/01/2019,2019,3,1,4,879.2574197,19.8,33.8,1.00E-14,48,7,1017.7,12,7,1014.6,1,0,0,0,0,0,0,0,0,0,0,0
2/02/2019,2019,3,2,5,960.2635831,19.9,32.7,6,48,9,1017.8,25,17,1014.1,0,1,0,0,0,0,0,0,0,0,0,0
9/02/2019,2019,3,2,6,1497.179723,19.2,30.4,1.00E-14,45,7,1014.9,15,13,1011.6,0,1,0,0,0,0,0,0,0,0,0,0
16/02/2019,2019,3,2,7,1243.710386,17,31.2,1.00E-14,38,6,1015.7,13,11,1011.8,0,1,0,0,0,0,0,0,0,0,0,0
23/02/2019,2019,3,2,8,958.6288775,18.6,29.7,1.00E-14,37,9,1014.6,11,11,1010.2,0,1,0,0,0,0,0,0,0,0,0,0
2/03/2019,2019,3,3,9,1320.011407,24,24.8,1.2,33,4,1014.2,11,4,1010.5,0,0,1,0,0,0,0,0,0,0,0,0
9/03/2019,2019,3,3,10,1127.914006,17.5,25.2,11,27,15,1012.5,9,9,1008.7,0,0,1,0,0,0,0,0,0,0,0,0
16/03/2019,2019,3,3,11,1209.138039,12,25.3,1.00E-14,32,19,1011.7,21,7,1007.4,0,0,1,0,0,0,0,0,0,0,0,0
23/03/2019,2019,3,3,12,1062.215158,13.1,26.8,1.00E-14,51,13,1009.2,21,9,1005.7,0,0,1,0,0,0,0,0,0,0,0,0
30/03/2019,2019,3,3,13,1417.957869,17.4,26.5,0.2,53,11,1008.8,26,11,1004.7,0,0,1,0,0,0,0,0,0,0,0,0
6/04/2019,2019,4,4,14,1165.018726,15.9,27.3,1.00E-14,48,7,1005.9,15,19,1002.6,0,0,0,1,0,0,0,0,0,0,0,0
13/04/2019,2019,4,4,15,1377.844028,15.4,26.8,1.00E-14,39,6,1008,8,15,1005,0,0,0,1,0,0,0,0,0,0,0,0
20/04/2019,2019,4,4,16,1887.399877,14.8,26.9,1.00E-14,36,9,1008.2,11,33,1003.8,0,0,0,1,0,0,0,0,0,0,0,0
27/04/2019,2019,4,4,17,1144.606722,15.3,26.7,1.00E-14,20,9,1007,19,22,1006.5,0,0,0,1,0,0,0,0,0,0,0,0
4/05/2019,2019,4,5,18,1690.872907,16.5,26.9,1.00E-14,66,7,1009.3,31,11,1007.8,0,0,0,0,1,0,0,0,0,0,0,0
11/05/2019,2019,4,5,19,796.1418229,14.7,27,1.00E-14,50,20,1011.6,30,13,1008.5,0,0,0,0,1,0,0,0,0,0,0,0
18/05/2019,2019,4,5,20,1484.318728,14.6,28.6,1.00E-14,45,19,1012.8,24,11,1011.1,0,0,0,0,1,0,0,0,0,0,0,0
25/05/2019,2019,4,5,21,834.2092947,15.6,29,1.00E-14,58,11,1017,69,15,1017.3,0,0,0,0,1,0,0,0,0,0,0,0
1/06/2019,2019,4,6,22,935.5929564,18.9,28.6,1.00E-14,41,26,1023.3,21,24,1019.7,0,0,0,0,0,1,0,0,0,0,0,0
8/06/2019,2019,4,6,23,1121.923965,20.8,33.3,1.00E-14,37,7,1022.5,18,1.00E-14,1016.4,0,0,0,0,0,1,0,0,0,0,0,0
15/06/2019,2019,4,6,24,672.8048484,21.8,32,1.00E-14,50,7,1016.2,23,15,1012.8,0,0,0,0,0,1,0,0,0,0,0,0
22/06/2019,2019,4,6,25,1094.987861,16.3,27.4,1.00E-14,43,17,1017.7,22,11,1013.8,0,0,0,0,0,1,0,0,0,0,0,0
29/06/2019,2019,4,6,26,177.5413834,13.3,27,1.00E-14,46,7,1017.2,17,11,1013.5,0,0,0,0,0,1,0,0,0,0,0,0
6/07/2019,2019,1,7,27,716.12239,14.9,29.1,1.00E-14,44,4,1012.4,22,13,1007.5,0,0,0,0,0,0,1,0,0,0,0,0
13/07/2019,2019,1,7,28,482.9876569,23.7,30.9,1.00E-14,53,4,1007.8,16,22,1004.5,0,0,0,0,0,0,1,0,0,0,0,0
20/07/2019,2019,1,7,29,1022.119483,23.2,33.2,1.00E-14,45,7,1010.1,39,17,1010.8,0,0,0,0,0,0,1,0,0,0,0,0
27/07/2019,2019,1,7,30,1205.779143,21.1,30.4,5.8,63,2,1012.5,19,9,1010.4,0,0,0,0,0,0,1,0,0,0,0,0
3/08/2019,2019,1,8,31,821.9552202,17.7,28.3,1.00E-14,49,11,1015.6,23,15,1012.4,0,0,0,0,0,0,0,1,0,0,0,0
10/08/2019,2019,1,8,32,333.3513632,19.9,27.4,1.00E-14,48,6,1013,10,22,1009.2,0,0,0,0,0,0,0,1,0,0,0,0
17/08/2019,2019,1,8,33,-60.24716542,18.5,31.9,1.00E-14,54,7,1014,14,24,1012.7,0,0,0,0,0,0,0,1,0,0,0,0
24/08/2019,2019,1,8,34,785.1571339,17.6,32.1,1.00E-14,49,1.00E-14,1016.6,16,17,1013.4,0,0,0,0,0,0,0,1,0,0,0,0
31/08/2019,2019,1,8,35,802.6413136,20.9,30.8,1.00E-14,43,15,1017.8,19,2,1015,0,0,0,0,0,0,0,1,0,0,0,0
7/09/2019,2019,1,9,36,566.3001845,23,30.2,1.00E-14,53,1.00E-14,1016.2,25,6,1012.6,0,0,0,0,0,0,0,0,1,0,0,0
14/09/2019,2019,1,9,37,557.7576428,21.5,25.6,8,44,6,1007.5,14,22,1004.6,0,0,0,0,0,0,0,0,1,0,0,0
21/09/2019,2019,1,9,38,545.2697903,20.9,28.5,10,53,4,1010.5,27,13,1008.7,0,0,0,0,0,0,0,0,1,0,0,0
28/09/2019,2019,1,9,39,788.1558998,17.2,22.8,1.7,53,6,1014.1,25,9,1011.6,0,0,0,0,0,0,0,0,1,0,0,0
5/10/2019,2019,2,10,40,1021.420062,15.9,26.3,2.6,58,15,1014.7,35,26,1009,0,0,0,0,0,0,0,0,0,1,0,0
12/10/2019,2019,2,10,41,515.175657,15.6,26.4,1.00E-14,57,26,1014.5,26,33,1013.1,0,0,0,0,0,0,0,0,0,1,0,0
19/10/2019,2019,2,10,42,460.6025781,15.7,27.8,0.6,60,19,1013.7,33,33,1011.8,0,0,0,0,0,0,0,0,0,1,0,0
26/10/2019,2019,2,10,43,1293.113738,18.9,29.1,1.00E-14,52,1.00E-14,1014.5,23,13,1012,0,0,0,0,0,0,0,0,0,1,0,0
2/11/2019,2019,2,11,44,1127.021464,17.6,32.5,1.00E-14,58,4,1015.2,22,20,1012.4,0,0,0,0,0,0,0,0,0,0,1,0
9/11/2019,2019,2,11,45,1336.595102,20.1,35.4,1.00E-14,54,7,1017,20,11,1014.7,0,0,0,0,0,0,0,0,0,0,1,0
16/11/2019,2019,2,11,46,1247.169898,22.9,32.2,1.00E-14,49,6,1019.7,28,17,1015.9,0,0,0,0,0,0,0,0,0,0,1,0
23/11/2019,2019,2,11,47,684.2482446,20.5,29.3,7,51,2,1019.5,25,4,1016.2,0,0,0,0,0,0,0,0,0,0,1,0
30/11/2019,2019,2,11,48,568.2536409,20.4,28.7,1.00E-14,57,15,1021.3,23,19,1018,0,0,0,0,0,0,0,0,0,0,1,0
7/12/2019,2019,2,12,49,1233.089275,19.6,29.3,1.00E-14,52,11,1019.5,90,9,1018.9,0,0,0,0,0,0,0,0,0,0,0,1
14/12/2019,2019,2,12,50,981.322604,19.6,31.2,1.00E-14,82,1.00E-14,1017.4,68,13,1014.7,0,0,0,0,0,0,0,0,0,0,0,1
21/12/2019,2019,2,12,51,504.8966807,24.5,32.3,1.00E-14,82,9,1012.7,74,22,1008,0,0,0,0,0,0,0,0,0,0,0,1
28/12/2019,2019,2,12,52,1079.188695,22.8,30.9,37.4,62,11,1013.4,41,17,1012,0,0,0,0,0,0,0,0,0,0,0,1
4/01/2020,2020,3,1,1,879.2753673,18.3,29.6,1.00E-14,78,2,1013.3,34,20,1011.6,1,0,0,0,0,0,0,0,0,0,0,0
11/01/2020,2020,3,1,2,1044.724402,18.9,29.7,1.00E-14,78,9,1015.6,34,17,1013.2,1,0,0,0,0,0,0,0,0,0,0,0
18/01/2020,2020,3,1,3,1031.600218,19.2,28.5,1.00E-14,76,6,1017.4,19,11,1013.9,1,0,0,0,0,0,0,0,0,0,0,0
25/01/2020,2020,3,1,4,1025.523681,18.7,27.7,1.00E-14,56,6,1016.3,15,7,1013.6,1,0,0,0,0,0,0,0,0,0,0,0
1/02/2020,2020,3,2,5,1033.206577,17.2,26.8,1.00E-14,50,7,1016.5,13,7,1013.6,0,1,0,0,0,0,0,0,0,0,0,0
8/02/2020,2020,3,2,6,1043.090283,17,27.7,1.00E-14,47,1.00E-14,1017,17,11,1013.1,0,1,0,0,0,0,0,0,0,0,0,0
15/02/2020,2020,3,2,7,1033.123986,16.5,27.4,1.00E-14,56,4,1014.8,30,19,1012.7,0,1,0,0,0,0,0,0,0,0,0,0
22/02/2020,2020,3,2,8,1055.372494,16.9,28,1.00E-14,63,1.00E-14,1013.7,25,24,1011.8,0,1,0,0,0,0,0,0,0,0,0,0
29/02/2020,2020,3,2,9,1029.556013,16.6,28.4,1.00E-14,62,6,1016.5,20,20,1014.4,0,1,0,0,0,0,0,0,0,0,0,0
7/03/2020,2020,3,3,10,1050.28705,20.1,26,1.00E-14,69,11,1017.4,78,9,1019.2,0,0,1,0,0,0,0,0,0,0,0,0
14/03/2020,2020,3,3,11,1036.948586,20.7,28,0.4,87,1.00E-14,1019.1,26,20,1017.2,0,0,1,0,0,0,0,0,0,0,0,0
21/03/2020,2020,3,3,12,1042.955348,19.8,29.5,1.00E-14,63,1.00E-14,1023,30,11,1020.7,0,0,1,0,0,0,0,0,0,0,0,0
28/03/2020,2020,3,3,13,1040.975262,19.6,29.3,1.00E-14,60,2,1023.8,26,17,1020.6,0,0,1,0,0,0,0,0,0,0,0,0
4/04/2020,2020,4,4,14,1029.709686,17.9,29.6,1.00E-14,60,1.00E-14,1022.4,18,6,1019.1,0,0,0,1,0,0,0,0,0,0,0,0
11/04/2020,2020,4,4,15,1051.856457,17.8,30.8,1.00E-14,57,1.00E-14,1023,16,9,1019.5,0,0,0,1,0,0,0,0,0,0,0,0
18/04/2020,2020,4,4,16,1058.203761,22.5,30.4,1.00E-14,61,2,1023.2,25,13,1019.5,0,0,0,1,0,0,0,0,0,0,0,0
25/04/2020,2020,4,4,17,1066.661026,21.1,30.8,0.6,59,1.00E-14,1022.6,22,6,1019.4,0,0,0,1,0,0,0,0,0,0,0,0
2/05/2020,2020,4,5,18,1067.021469,19.2,30.4,1.00E-14,59,1.00E-14,1022.6,30,11,1018.4,0,0,0,0,1,0,0,0,0,0,0,0
9/05/2020,2020,4,5,19,1058.814783,19,29.4,1.00E-14,92,7,1018.8,49,17,1012.9,0,0,0,0,1,0,0,0,0,0,0,0
16/05/2020,2020,4,5,20,1070.267337,17.7,30.6,1.00E-14,60,1.00E-14,1019.8,33,13,1019.3,0,0,0,0,1,0,0,0,0,0,0,0
23/05/2020,2020,4,5,21,1072.579794,20.2,32.4,1.00E-14,72,6,1020.4,37,19,1016.5,0,0,0,0,1,0,0,0,0,0,0,0
30/05/2020,2020,4,5,22,1054.402927,21.7,26.6,19.2,58,13,1021.8,20,19,1019.6,0,0,0,0,1,0,0,0,0,0,0,0
6/06/2020,2020,4,6,23,1076.370727,21.8,29.7,3,55,7,1026.7,27,7,1023.5,0,0,0,0,0,1,0,0,0,0,0,0
13/06/2020,2020,4,6,24,1076.940687,20.1,30,1.00E-14,60,7,1027.1,30,13,1023.4,0,0,0,0,0,1,0,0,0,0,0,0
20/06/2020,2020,4,6,25,1076.056301,19.9,30.9,1.00E-14,67,9,1024.2,27,13,1019.6,0,0,0,0,0,1,0,0,0,0,0,0
27/06/2020,2020,4,6,26,1064.52728,21.5,29.4,1.00E-14,59,6,1021.5,42,11,1017.7,0,0,0,0,0,1,0,0,0,0,0,0
4/07/2020,2020,1,7,27,1067.63933,23.2,29.7,1.8,75,6,1024.4,47,11,1020.3,0,0,0,0,0,0,1,0,0,0,0,0
11/07/2020,2020,1,7,28,1087.270616,21,28.5,9.2,88,1.00E-14,1024.1,52,6,1020.8,0,0,0,0,0,0,1,0,0,0,0,0
18/07/2020,2020,1,7,29,1079.348366,21.1,29.6,1.00E-14,65,4,1023,35,7,1018.7,0,0,0,0,0,0,1,0,0,0,0,0
25/07/2020,2020,1,7,30,1074.51298,21.1,27,0.6,68,1.00E-14,1016.3,39,15,1011.6,0,0,0,0,0,0,1,0,0,0,0,0
1/08/2020,2020,1,8,31,1082.730847,20.4,24.6,14.6,44,26,1008.2,27,31,1009.8,0,0,0,0,0,0,0,1,0,0,0,0
8/08/2020,2020,1,8,32,1081.384912,20.7,26,2.6,65,1.00E-14,1016.3,30,13,1012.8,0,0,0,0,0,0,0,1,0,0,0,0
15/08/2020,2020,1,8,33,1098.42624,21.6,26.3,4.6,59,6,1018.5,39,11,1016.8,0,0,0,0,0,0,0,1,0,0,0,0
22/08/2020,2020,1,8,34,1100.743945,20.9,27,8.8,73,2,1022.8,37,17,1019.3,0,0,0,0,0,0,0,1,0,0,0,0
29/08/2020,2020,1,8,35,1070.956691,20,29.6,20.6,54,13,1022.7,33,15,1019.6,0,0,0,0,0,0,0,1,0,0,0,0
5/09/2020,2020,1,9,36,1099.495833,18,30.2,1.00E-14,58,2,1023.6,29,7,1020,0,0,0,0,0,0,0,0,1,0,0,0
12/09/2020,2020,1,9,37,1102.714028,20.2,30.3,1.00E-14,68,6,1025.2,39,7,1020.9,0,0,0,0,0,0,0,0,1,0,0,0
19/09/2020,2020,1,9,38,1101.901577,20,29.8,1.00E-14,73,1.00E-14,1026,33,7,1021.6,0,0,0,0,0,0,0,0,1,0,0,0
26/09/2020,2020,1,9,39,1094.316172,19.1,29.8,1.00E-14,68,1.00E-14,1021.3,34,20,1015.7,0,0,0,0,0,0,0,0,1,0,0,0
3/10/2020,2020,2,10,40,1108.098254,20,31,1.00E-14,74,7,1008.9,86,4,1002.4,0,0,0,0,0,0,0,0,0,1,0,0
10/10/2020,2020,2,10,41,1110.33998,20.8,31,1.00E-14,83,19,1004.8,89,15,1000.9,0,0,0,0,0,0,0,0,0,1,0,0
17/10/2020,2020,2,10,42,1111.580743,21,31.7,1.00E-14,77,26,1004,62,31,1003.3,0,0,0,0,0,0,0,0,0,1,0,0
24/10/2020,2020,2,10,43,1122.058616,21.4,31.9,1.00E-14,82,9,1013.8,79,13,1013.5,0,0,0,0,0,0,0,0,0,1,0,0
31/10/2020,2020,2,10,44,1115.763001,22.9,30.4,1.00E-14,83,15,1018,48,20,1018.3,0,0,0,0,0,0,0,0,0,1,0,0
7/11/2020,2020,2,11,45,1119.050547,21.4,33.1,1.00E-14,62,9,1023.1,46,7,1020.9,0,0,0,0,0,0,0,0,0,0,1,0
14/11/2020,2020,2,11,46,1119.253626,20.9,31.5,1.00E-14,70,1.00E-14,1023.4,38,7,1021.5,0,0,0,0,0,0,0,0,0,0,1,0
21/11/2020,2020,2,11,47,1133.581262,20.7,32,1.00E-14,77,1.00E-14,1026,44,7,1023.2,0,0,0,0,0,0,0,0,0,0,1,0
28/11/2020,2020,2,11,48,1108.606955,23.9,31.7,1.00E-14,81,7,1026.9,49,6,1024,0,0,0,0,0,0,0,0,0,0,1,0
5/12/2020,2020,2,12,49,1127.558094,25.7,31,1.00E-14,75,4,1028.7,51,7,1025.9,0,0,0,0,0,0,0,0,0,0,0,1
12/12/2020,2020,2,12,50,1145.26694,23.7,32,8.6,86,6,1029.8,44,13,1027.3,0,0,0,0,0,0,0,0,0,0,0,1
19/12/2020,2020,2,12,51,1136.441078,23.3,31.7,41.2,71,1.00E-14,1031.4,47,7,1028.1,0,0,0,0,0,0,0,0,0,0,0,1
26/12/2020,2020,2,12,52,1142.106844,26,31.5,1.00E-14,82,6,1028.5,49,7,1024.6,0,0,0,0,0,0,0,0,0,0,0,1
2/01/2021,2021,3,1,1,1131.414619,23.6,31.8,1.00E-14,86,6,1026.2,49,11,1023.6,1,0,0,0,0,0,0,0,0,0,0,0
9/01/2021,2021,3,1,2,1128.119716,23.8,29.7,1.00E-14,68,1.00E-14,1028.8,36,9,1025.8,1,0,0,0,0,0,0,0,0,0,0,0
16/01/2021,2021,3,1,3,1151.782464,21.8,30.9,1.00E-14,78,1.00E-14,1026,45,7,1021.8,1,0,0,0,0,0,0,0,0,0,0,0
23/01/2021,2021,3,1,4,1137.100846,21.1,30,1.00E-14,69,1.00E-14,1025.1,40,7,1022.3,1,0,0,0,0,0,0,0,0,0,0,0
30/01/2021,2021,3,1,5,1139.324858,21.2,30,1,89,6,1025.6,53,7,1022.2,1,0,0,0,0,0,0,0,0,0,0,0
6/02/2021,2021,3,2,6,1147.880933,21.6,32.6,1.00E-14,81,4,1022.3,49,17,1018.5,0,1,0,0,0,0,0,0,0,0,0,0
13/02/2021,2021,3,2,7,1141.053784,20.3,32,1.00E-14,86,4,1018.4,61,17,1015.7,0,1,0,0,0,0,0,0,0,0,0,0
20/02/2021,2021,3,2,8,1164.581524,19.1,33.7,1.00E-14,77,17,1015.3,59,19,1013.1,0,1,0,0,0,0,0,0,0,0,0,0
27/02/2021,2021,3,2,9,1165.752369,25.1,34.5,1.00E-14,82,13,1015,63,19,1011,0,1,0,0,0,0,0,0,0,0,0,0
6/03/2021,2021,3,3,10,1158.729289,25.1,31.2,13.4,82,22,1011.8,54,24,1013.4,0,0,1,0,0,0,0,0,0,0,0,0
13/03/2021,2021,3,3,11,1151.194617,19.9,30,48.6,83,6,1022.5,61,9,1019.3,0,0,1,0,0,0,0,0,0,0,0,0
20/03/2021,2021,3,3,12,1166.833636,19.4,29.8,1.00E-14,82,1.00E-14,1024.7,34,4,1021.2,0,0,1,0,0,0,0,0,0,0,0,0
27/03/2021,2021,3,3,13,1165.944168,19.1,29.8,1.00E-14,87,1.00E-14,1023.6,51,11,1019.9,0,0,1,0,0,0,0,0,0,0,0,0
3/04/2021,2021,4,4,14,1163.322945,19.9,30.2,1.00E-14,75,2,1022.8,57,9,1020.5,0,0,0,1,0,0,0,0,0,0,0,0
10/04/2021,2021,4,4,15,1174.86018,19.8,30.6,1.00E-14,81,1.00E-14,1025.2,48,7,1022.3,0,0,0,1,0,0,0,0,0,0,0,0
17/04/2021,2021,4,4,16,1190.786154,20.7,28.2,1,75,4,1025.2,43,19,1021.4,0,0,0,1,0,0,0,0,0,0,0,0
